politician,BioGuideID,disclosure_date,TransactionDate,ticker,action,Range,chamber,amount,party,last_modified,TickerType,Description,ExcessReturn,PriceChange,SPYChange
Tommy Tuberville,T000278,2025-11-15,2025-10-07,GOOGL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-11-15,Stock,,23.9534790938584,25.8504231770833,1.89694408322496
Tommy Tuberville,T000278,2025-11-15,2025-10-07,MSFT,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-11-15,Stock,,-10.5709392738811,-8.67399519065614,1.89694408322496
Tommy Tuberville,T000278,2025-11-15,2025-10-07,AAPL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-11-15,Stock,,6.60274400161594,8.4996880848409,1.89694408322496
Tommy Tuberville,T000278,2025-11-15,2025-10-07,ORCL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-11-15,Stock,,-35.0625787581476,-33.1656346749226,1.89694408322496
Tommy Tuberville,T000278,2025-11-15,2025-10-07,OC,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-11-15,Stock,,-14.9273834294538,-13.0304393462288,1.89694408322496
Tommy Tuberville,T000278,2025-11-15,2025-10-07,PEP,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-11-15,Stock,,5.10639422205241,7.00333830527737,1.89694408322496
Tommy Tuberville,T000278,2025-05-15,2025-04-15,ADM,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,3.38465608137632,30.2583025830258,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,MSFT,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,-2.81536739450203,24.0582791071475,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,BMY,SELL,"$1,001 - $15,000",Senate,1001.0,R,2025-05-16,Stock,,-22.0536465016495,4.81999999999999,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,GS,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,47.9594866571054,74.8331331587549,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,USIG,BUY,"$50,001 - $100,000",Senate,50001.0,R,2025-05-16,Stock,,-23.765457619402,3.10818888224746,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,MA,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,-16.3301388283726,10.5435076732769,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,DUK,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,-31.1810579050855,-4.30741140343597,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,LLY,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,8.82856433329068,35.7022108349402,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,JPM,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,9.75398614966091,36.6276326513104,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,AMGN,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,-19.2745946899326,7.5990518117169,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,STZ,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,-46.6930743271689,-19.8194278255194,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,PYPL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,-27.4220335984237,-0.548387096774199,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,AAPL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,10.7933169890005,37.66696349065,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,GOOGL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,70.9959715650129,97.8696180666624,26.8736465016495
Tommy Tuberville,T000278,2025-05-15,2025-04-15,CSX,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-05-16,Stock,,7.14069041591322,34.0143369175627,26.8736465016495
Tommy Tuberville,T000278,2025-02-14,2025-01-10,TXN,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-02-14,Stock,,-23.0584859855576,-5.64291348935052,17.4155724962071
Tommy Tuberville,T000278,2025-02-14,2025-01-10,MSFT,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-02-14,Stock,,-3.19430504185693,14.2212674543502,17.4155724962071
Tommy Tuberville,T000278,2025-02-14,2025-01-10,DEO,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-02-14,Stock,,-42.0624472318918,-24.6468747356847,17.4155724962071
Tommy Tuberville,T000278,2025-02-14,2025-01-10,AAPL,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-02-14,Stock,,0.0765111010063322,17.4920835972134,17.4155724962071
Tommy Tuberville,T000278,2025-02-14,2025-01-10,TSCO,SELL,"$15,001 - $50,000",Senate,15001.0,R,2025-02-14,Stock,,-22.2149863082606,-4.7994138120535,17.4155724962071
Tommy Tuberville,T000278,2025-02-14,2025-01-10,CARR,SELL,"$1,001 - $15,000",Senate,1001.0,R,2025-02-14,Stock,,-37.8185194214815,-20.4029469252744,17.4155724962071
