politician,BioGuideID,disclosure_date,TransactionDate,ticker,action,Range,chamber,amount,party,last_modified,TickerType,Description,ExcessReturn,PriceChange,SPYChange
Cleo Fields,F000110,2025-12-17,2025-12-15,SOUN,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,3.22905537020994,1.85356811862837,-1.37548725158157
Cleo Fields,F000110,2025-12-17,2025-12-15,GOOG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-2.26475586234575,-3.64024311392732,-1.37548725158157
Cleo Fields,F000110,2025-12-17,2025-12-15,GOOGL,BUY,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-18,ST,,-2.35561390992644,-3.73110116150801,-1.37548725158157
Cleo Fields,F000110,2025-12-17,2025-12-11,UBER,SELL,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-4.79197299689947,-7.37359550561797,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,MSFT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,1.061362720107,-1.5202597886115,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,CRWV,SELL,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-18,ST,,-23.5456377339,-26.1272602426185,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,ARM,SELL,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-13.2550162455051,-15.8366387542236,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,T,SELL,"$15,001 - $50,000",Representatives,15001.0,D,2025-12-18,ST,,2.82853608896541,0.246913580246908,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,MSFT,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,1.061362720107,-1.5202597886115,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-11,GOOGL,BUY,"$100,001 - $250,000",Representatives,100001.0,D,2025-12-18,ST,,-2.44670383638279,-5.0283263451013,-2.5816225087185
Cleo Fields,F000110,2025-12-17,2025-12-09,GOOGL,BUY,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-4.70958156287088,-6.42109246877758,-1.7115109059067
Cleo Fields,F000110,2025-12-17,2025-12-09,IREN,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-26.1706411009251,-27.8821520068318,-1.7115109059067
Cleo Fields,F000110,2025-12-17,2025-12-03,NFLX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-7.00445585563777,-8.82070026933435,-1.81624441369658
Cleo Fields,F000110,2025-12-17,2025-12-03,NFLX,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-18,ST,,-7.00445585563777,-8.82070026933435,-1.81624441369658
Cleo Fields,F000110,2025-12-17,2025-12-01,GOOGL,BUY,"$50,001 - $100,000",Representatives,50001.0,D,2025-12-18,ST,,-4.46415566909641,-5.77026898281938,-1.30611331372298
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,FWRG,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-9.40720894527931,-10.6233062330623,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,TKO,BUY,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,10.6539625202389,9.43786523245591,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,SPOT,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-3.24829387791912,-4.46439116570214,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-26,GOOGL,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-6.04441216681924,-7.26050945460227,-1.21609728778303
Gilbert Cisneros,C001123,2025-12-15,2025-11-24,PRIM,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,-0.925845537347818,-0.533937383706817,0.391908153641
Gilbert Cisneros,C001123,2025-12-15,2025-11-24,SF,SELL,"$1,001 - $15,000",Representatives,1001.0,D,2025-12-16,ST,,5.40262625931447,5.79453441295547,0.391908153641
